indicator_key,source,unit
AREA_URBANA,MAPBIOMAS_ESTIMADO,km²
AREA_URBANA,PLACEHOLDER,km²
EMISSOES_GEE,SEEG,
EMPREENDEDORES_MEI,PLACEHOLDER,Empreendedores
EMPREGOS_CAGED,CAGED_MANUAL_MG,Empregos
EMPREGOS_RAIS,SEBRAE,
EMPREGOS_SEBRAE,PLACEHOLDER,Empregos
EMPREGOS_SEBRAE,SEBRAE,Empregos
EMPRESAS_FORMAIS,SEBRAE,
EMPRESOS_ATIVAS,RAIS,
ESCOLAS_FUNDAMENTAL,INEP_SINOPSE,
ESTABELECIMENTOS_SEBRAE,PLACEHOLDER,Unidades
ESTABELECIMENTOS_SEBRAE,SEBRAE,Estabelecimentos
GINI,IBGE,Índice
GINI,MANUAL_CSV,Índice
IDEB_ANOS_FINAIS,PLACEHOLDER,Índice
IDEB_ANOS_INICIAIS,PLACEHOLDER,Índice
IDHM,ATLAS_BRASIL,Índice
IDHM,MANUAL_CSV,Índice
IDSC_GERAL,SUSTENTABILIDADE,
INDICE_SUSTENTABILIDADE,SUSTENTABILIDADE,
MATRICULAS_TOTAL,IBGE,Alunos
MATRICULAS_TOTAL,INEP,
MORTALIDADE_INFANTIL,PLACEHOLDER,Óbitos/1000
NUM_EMPRESAS,RAIS,
OBITOS_TOTAL,PLACEHOLDER,Óbitos
PIB_CRESCIMENTO,CALCULADO,%
PIB_ESTIMADO,PROJECAO_INTERNA,R$ mil
PIB_PER_CAPITA,IBGE,
PIB_TOTAL,IBGE,R$ mil
POPULACAO,IBGE,Habitantes
POPULACAO_DETALHADA,IBGE/SIDRA,
RECEITA_ICMS,SEFAZ_MG,
RECEITA_VAF,SEFAZ_MG,
SALARIO_MEDIO_MG,PLACEHOLDER,R$
SALARIO_MEDIO_MG,SEBRAE,R$
SALDO_CAGED,CAGED_MANUAL_MG,Empregos
SALDO_CAGED_ANUAL,CAGED_MANUAL_MG,Vagas (Saldo Anual)
SALDO_CAGED_MENSAL,CAGED_MANUAL_MG,Vagas (Saldo Mensal)
SEBRAE_GERAL,SEBRAE,Trabalhadores
SEBRAE_GERAL,SEBRAE,Estabelecimentos
SEEG_AR,SEEG,toneladas CO2
SEEG_GASES,SEEG,toneladas CO2
TAXA_APROVACAO_FUNDAMENTAL,INEP_CENSO,
USO_AGROPECUARIO,MAPBIOMAS_ESTIMADO,km²
USO_AGROPECUARIO,PLACEHOLDER,km²
VEGETACAO_NATIVA,MAPBIOMAS_ESTIMADO,km²
VEGETACAO_NATIVA,PLACEHOLDER,km²
